recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,19MAY19,1522,JB60,21MAY19,JBU, 280 ,10,21,20190521,20190521,1646,1756,592   ,20190519,SC20,LGB ,0946,DM,-0700,LAS ,1056,-0700,320 ,,,,0946,1646,,,,E09 ,1056,1756,,,638 ,,,,,,0,,,320 ,,5278500,,,,0,0,0,>1179 ,,JFK,3,0,2019-05-21 16:46:00.000,0,2019-05-21 17:56:00.000,13,7,0,0,0280
,18MAY19,1209,PLNK,21MAY19,JBU, 282 ,10,21,20190521,20190521,1553,1937,709   ,20190518,SC05,HOU ,1053,DM,-0500,JFK ,1537,-0400,32A ,,,,1053,1553,,,,,1537,1937,,,655 ,,,,,,0,,,320 ,,5278511,,,,0,0,0,> 359 ,,JFK,3,0,2019-05-21 15:53:00.000,0,2019-05-21 19:37:00.000,14,7,0,0,0282
,18MAY19,1209,PLNK,21MAY19,JBU, 283 ,10,21,20190521,20190522,0000,0309,956   ,20190518,,JFK ,2000,DM,-0400,MCO ,2309,-0400,321 ,,,,2000,0000,,,,,2309,0309,,,,,,,,,0,,,321 ,,5278522,,,,0,0,0,>1705 ,,JFK,3,0,2019-05-22 00:00:00.000,0,2019-05-22 03:09:00.000,29,7,0,0,0283
,18MAY19,1309,DJ67,21MAY19,JBU, 286 ,10,21,20190521,20190521,1146,1312,236   ,20190518,SC01,JFK ,0746,DM,-0400,ROC ,0912,-0400,E90 ,,,,0746,1146,,,,,0912,1312,,,203 ,,,,,,0,,,E90 ,,5278533,,,,0,0,0,> 712 ,,JFK,3,0,2019-05-21 11:46:00.000,0,2019-05-21 13:12:00.000,29,7,0,0,0286
,19MAY19,2036,TP57,21MAY19,JBU, 287 ,10,21,20190521,20190521,1107,1733,934   ,20190519,SC01,BOS ,0707,DM,-0400,LAX ,1033,-0700,32S ,,,C8  ,0707,1107,,,,,1033,1733,,,993 ,,,,,,0,,,32S ,,5278543,,,,0,0,0,> 488 ,,JFK,3,1,2019-05-21 11:07:00.000,3,2019-05-21 17:33:00.000,18,7,0,0,0287
,19MAY19,0703,rd15,21MAY19,JBU, 288 ,10,21,20190521,20190521,1249,1823,947   ,20190519,AU01,LAX ,0549,DM,-0700,BOS ,1423,-0400,32S ,,,59  ,0549,1249,,,,C9  ,1423,1823,,,929 ,,,,,,0,,,32S ,,5278554,,,,0,0,0,> 687 ,,JFK,3,1,2019-05-21 12:49:00.000,3,2019-05-21 18:23:00.000,15,7,0,0,0288
,20MAY19,0400,POST,21MAY19,JBU, 289 ,10,21,20190521,20190521,1319,1618,566   ,20190520,SC05,JFK ,0919,DM,-0400,MCO ,1218,-0400,320 ,,,05  ,0919,1319,,,,4   ,1218,1618,,,590 ,,,,,,0,,,320 ,,5278565,,,,0,0,0,> 733 ,,JFK,3,1,2019-05-21 13:19:00.000,3,2019-05-21 16:18:00.000,29,7,0,0,0289
,19MAY19,0031,POST,21MAY19,JBU, 290 ,10,21,20190521,20190521,1158,1329,649   ,20190519,SC05,DCA ,0758,DM,-0400,BOS ,0929,-0400,32C ,,,,0758,1158,,,,C26 ,0929,1329,,,535 ,,,,,,0,,,32H ,,5278576,,,,0,0,0,> 561 ,,JFK,3,0,2019-05-21 11:58:00.000,0,2019-05-21 13:29:00.000,15,7,0,0,0290
,18MAY19,1209,PLNK,21MAY19,JBU, 299 ,10,21,20190521,20190521,2000,2305,794   ,20190518,SC05,LGA ,1600,DM,-0400,MCO ,1905,-0400,320 ,,,,1600,2000,,,,,1905,2305,,,503 ,,,,,,0,,,320 ,,5278587,,,,0,0,0,> 706 ,,JFK,3,0,2019-05-21 20:00:00.000,0,2019-05-21 23:05:00.000,23,7,0,0,0299
,18MAY19,1725,JB60,21MAY19,JBU, 301 ,10,21,20190521,20190521,2127,0054,959   ,20190518,SC05,JFK ,1727,DM,-0400,FLL ,2054,-0400,321 ,,,,1727,2127,,,,,2054,0054,,,905 ,,,,,,0,,,321 ,,5278598,,,,0,0,0,>1802 ,,JFK,3,0,2019-05-21 21:27:00.000,0,2019-05-22 00:54:00.000,29,7,0,0,0301
,19MAY19,1208,PLNK,21MAY19,JBU, 302 ,10,21,20190521,20190521,1901,2207,956   ,20190519,,FLL ,1501,DM,-0400,JFK ,1807,-0400,321 ,,,,1501,1901,,,,,1807,2207,,,,,,,,,0,,,321 ,,5278609,,,,0,0,0,> 283 ,,JFK,3,0,2019-05-21 19:01:00.000,0,2019-05-21 22:07:00.000,17,7,0,0,0302
,19MAY19,1343,PLNK,21MAY19,JBU, 306 ,10,21,20190521,20190521,1211,1502,536   ,20190519,SC05,FLL ,0811,DM,-0400,EWR ,1102,-0400,320 ,,,,0811,1211,,,,16A ,1102,1502,,,592 ,,,,,,0,,,320 ,,5278630,,,,0,0,0,>1289 ,,JFK,3,1,2019-05-21 12:11:00.000,3,2019-05-21 15:02:00.000,17,7,0,0,0306
,20MAY19,0345,dtad,21MAY19,JBU, 311 ,10,21,20190521,20190521,1227,1531,324   ,20190520,SC01,BOS ,0827,DM,-0400,ORD ,1031,-0500,E90 ,,,C18 ,0827,1227,,,,L2A ,1031,1531,,,273 ,,,,,,0,,,E90 ,,5278641,,,,0,0,0,> 312 ,,JFK,3,0,2019-05-21 12:27:00.000,0,2019-05-21 15:31:00.000,18,7,0,0,0311
,20MAY19,0346,dtad,21MAY19,JBU, 312 ,10,21,20190521,20190521,1606,1828,324   ,20190520,SC01,ORD ,1106,DM,-0500,BOS ,1428,-0400,E90 ,,,L2A ,1106,1606,,,,C15 ,1428,1828,,,273 ,,,,,,0,,,E90 ,,5278652,,,,0,0,0,> 713 ,,JFK,3,0,2019-05-21 16:06:00.000,0,2019-05-21 18:28:00.000,15,7,0,0,0312
,19MAY19,1918,JB60,21MAY19,JBU, 315 ,10,21,20190521,20190521,1629,1750,281   ,20190519,SC05,SYR ,1229,DM,-0400,JFK ,1350,-0400,E90 ,,,03  ,1229,1629,,,,,1350,1750,,,309 ,,,,,,0,,,E90 ,,5278665,,,,0,0,0,>2402 ,,JFK,3,0,2019-05-21 16:29:00.000,0,2019-05-21 17:50:00.000,13,7,0,0,0315
,19MAY19,1824,POST,21MAY19,JBU, 318 ,10,21,20190521,20190521,0943,1050,307   ,20190519,SC05,JFK ,0543,DM,-0400,BOS ,0650,-0400,E90 ,,,02  ,0543,0943,,,,C32 ,0650,1050,,,179 ,,,,,,0,,,E90 ,,5278676,,,,0,0,0,>1137 ,,JFK,3,1,2019-05-21 09:43:00.000,3,2019-05-21 10:50:00.000,29,7,0,0,0318
,20MAY19,0442,ai23,21MAY19,JBU, 319 ,10,21,20190521,20190521,2148,0310,586   ,20190520,SC05,FLL ,1748,DM,-0400,SLC ,2110,-0600,320 ,,,,1748,2148,,,,G4  ,2110,0310,,,524 ,,,,,,0,,,320 ,,5278687,,,,0,0,0,> 320 ,,JFK,3,0,2019-05-21 21:48:00.000,0,2019-05-22 03:10:00.000,17,7,0,0,0319
,20MAY19,0443,ai23,21MAY19,JBU, 320 ,10,21,20190521,20190522,0400,0840,586   ,20190520,SC05,SLC ,2200,DM,-0600,FLL ,0440,-0400,320 ,,,G4  ,2200,0400,,,,,0440,0840,,,524 ,,,,,,0,,,320 ,,5278698,,,,0,0,0,>1509 ,,JFK,3,0,2019-05-22 04:00:00.000,0,2019-05-22 08:40:00.000,17,7,0,0,0320
,20MAY19,1137,PLNK,21MAY19,JBU, 321 ,10,21,20190521,20190521,2239,0154,627   ,20190520,SC07,BOS ,1839,DM,-0400,PBI ,2154,-0400,32M ,,,C11 ,1839,2239,,,,,2154,0154,,,558 ,,,,,,0,,,32M ,,5278708,,,,0,0,0,>1022 ,,JFK,3,0,2019-05-21 22:39:00.000,0,2019-05-22 01:54:00.000,18,7,0,0,0321
,20MAY19,0535,GDIC,21MAY19,JBU, 323 ,10,21,20190521,20190521,1242,1905,993   ,20190520,SC01,JFK ,0842,DM,-0400,LAX ,1205,-0700,32S ,,,,0842,1242,,,,,1205,1905,,,979 ,,,,,,0,,,32S ,,5278719,,,,0,0,0,> 688 ,,JFK,3,1,2019-05-21 12:42:00.000,0,2019-05-21 19:05:00.000,29,7,0,0,0323
,18MAY19,1209,PLNK,21MAY19,JBU, 324 ,10,21,20190521,20190521,1702,2249,929   ,20190518,SC11,LAX ,1002,DM,-0700,JFK ,1849,-0400,32S ,,,,1002,1702,,,,,1849,2249,,,983 ,,,,,,0,,,32S ,,5278730,,,,0,0,0,>1415 ,,JFK,3,0,2019-05-21 17:02:00.000,0,2019-05-21 22:49:00.000,15,7,0,0,0324
,18MAY19,1209,PLNK,21MAY19,JBU, 325 ,10,21,20190521,20190521,1829,2135,995   ,20190518,SC05,JFK ,1429,DM,-0400,TPA ,1735,-0400,321 ,,,,1429,1829,,,,,1735,2135,,,994 ,,,,,,0,,,321 ,,5278741,,,,0,0,0,> 426 ,,JFK,3,0,2019-05-21 18:29:00.000,0,2019-05-21 21:35:00.000,29,7,0,0,0325
